id,solved_at,pc_id,solver_id,total_unique_dxs,diagnosis,solve_time,rank,sctid,is_correct
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Histoplasmosis,147.138656,1,12962009,True
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Pneumonia,147.138656,2,233604007,False
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Acute pericarditis,147.138656,3,15555002,False
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Unspecified asthma with (acute) exacerbation,147.138656,4,1751000119100,False
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Pulmonary embolism,147.138656,5,59282003,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Chronic obstructive pulmonary disease with acute exacerbation,171.202134,1,195951007,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Bronchitis,171.202134,2,32398004,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Pneumonia,171.202134,3,233604007,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Myocarditis,171.202134,4,50920009,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Heart failure,171.202134,5,84114007,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Pneumonia,115.040894,1,233604007,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Asbestos,115.040894,2,16369005,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Pleural plaque with presence of asbestos,115.040894,3,233659006,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Interstitial pulmonary disease,115.040894,4,233703007,False
5433,2015-09-15 07:52:25.042000+00:00,3615,1064,"{'Chronic obstructive pulmonary disease', 'Pleural plaque with presence of asbestos'}",Chronic obstructive pulmonary disease,51.856899,1,13645005,False
6271,2015-10-01 04:55:14.344000+00:00,3615,1125,"{'Airway disease due to specific organic dust', 'Unspecified asthma with (acute) exacerbation', 'Unstable angina', 'Asthma', 'Asbestosis'}",Asthma,107.579759,1,195967001,False
6271,2015-10-01 04:55:14.344000+00:00,3615,1125,"{'Airway disease due to specific organic dust', 'Unspecified asthma with (acute) exacerbation', 'Unstable angina', 'Asthma', 'Asbestosis'}",Airway disease due to specific organic dust,107.579759,2,10625871000119105,False
6271,2015-10-01 04:55:14.344000+00:00,3615,1125,"{'Airway disease due to specific organic dust', 'Unspecified asthma with (acute) exacerbation', 'Unstable angina', 'Asthma', 'Asbestosis'}",Asbestosis,107.579759,3,22607003,False
6271,2015-10-01 04:55:14.344000+00:00,3615,1125,"{'Airway disease due to specific organic dust', 'Unspecified asthma with (acute) exacerbation', 'Unstable angina', 'Asthma', 'Asbestosis'}",Unspecified asthma with (acute) exacerbation,107.579759,4,1751000119100,False
8890,2015-11-08 04:10:58.695000+00:00,3615,1080,{'Bronchitis'},Bronchitis,67.536103,1,32398004,False
10171,2015-11-19 16:14:55.394000+00:00,3615,2080,"{'Coccidioidomycosis', 'Histoplasmosis'}",Histoplasmosis,144.218825,1,12962009,True
10171,2015-11-19 16:14:55.394000+00:00,3615,2080,"{'Coccidioidomycosis', 'Histoplasmosis'}",Coccidioidomycosis,144.218825,2,60826002,False
10398,2015-11-20 22:39:39.733000+00:00,3615,2263,{'Emphysema'},Emphysema,101.668,1,49158009,False
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Histoplasmosis,124.343628,1,12962009,True
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Chronic obstructive pulmonary disease with acute exacerbation,124.343628,2,195951007,False
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Asthma,124.343628,3,195967001,False
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Asbestosis,124.343628,4,22607003,False
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Pleural plaque with presence of asbestos,124.343628,5,233659006,False
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Pneumoconiosis due to asbestos and other mineral fibers,124.343628,6,22607003,False
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Chronic bronchitis,124.343628,7,63480004,False
10834,2015-11-23 04:28:42.822000+00:00,3615,2091,"{'Pleural plaque with presence of asbestos', 'Chronic bronchitis', 'Histoplasmosis', 'Asthma', 'Pulmonary fibrosis', 'Asbestosis', 'Pneumoconiosis due to asbestos and other mineral fibers', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Pulmonary fibrosis,124.343628,8,51615001,False
11818,2015-11-28 06:22:27.366000+00:00,3615,2352,"{'Cryptococcosis', 'Histoplasmosis', 'Cryptosporidiosis'}",Histoplasmosis,37.16183,1,12962009,True
11818,2015-11-28 06:22:27.366000+00:00,3615,2352,"{'Cryptococcosis', 'Histoplasmosis', 'Cryptosporidiosis'}",Cryptococcosis,37.16183,2,42386007,False
11818,2015-11-28 06:22:27.366000+00:00,3615,2352,"{'Cryptococcosis', 'Histoplasmosis', 'Cryptosporidiosis'}",Cryptosporidiosis,37.16183,3,240370009,False
12491,2015-12-07 06:08:12.785000+00:00,3615,2189,"{'Asbestosis', 'Asthma'}",Asbestosis,58.516639,1,22607003,False
12491,2015-12-07 06:08:12.785000+00:00,3615,2189,"{'Asbestosis', 'Asthma'}",Asthma,58.516639,2,195967001,False
13334,2015-12-18 11:00:51.350802+00:00,3615,2487,"{'Acute bronchitis', 'Bronchiectasis', 'Aspergillosis'}",Aspergillosis,90.139,1,65553006,False
13334,2015-12-18 11:00:51.350802+00:00,3615,2487,"{'Acute bronchitis', 'Bronchiectasis', 'Aspergillosis'}",Bronchiectasis,90.139,2,12295008,False
13334,2015-12-18 11:00:51.350802+00:00,3615,2487,"{'Acute bronchitis', 'Bronchiectasis', 'Aspergillosis'}",Acute bronchitis,90.139,3,10509002,False
14340,2015-12-29 01:38:56.986000+00:00,3615,662,"{'Histoplasmosis', 'Blastomycosis', 'Asthma'}",Asthma,60.499701,1,195967001,False
14340,2015-12-29 01:38:56.986000+00:00,3615,662,"{'Histoplasmosis', 'Blastomycosis', 'Asthma'}",Histoplasmosis,60.499701,2,12962009,True
14340,2015-12-29 01:38:56.986000+00:00,3615,662,"{'Histoplasmosis', 'Blastomycosis', 'Asthma'}",Blastomycosis,60.499701,3,69996000,False
20196,2016-02-10 06:14:51.074000+00:00,3615,3140,"{'Aspergillosis', 'Upper respiratory infection', 'Blastomycosis', 'Interstitial pulmonary disease', 'Histoplasmosis', 'Allergic bronchopulmonary aspergillosis'}",Histoplasmosis,107.035925,1,12962009,True
20196,2016-02-10 06:14:51.074000+00:00,3615,3140,"{'Aspergillosis', 'Upper respiratory infection', 'Blastomycosis', 'Interstitial pulmonary disease', 'Histoplasmosis', 'Allergic bronchopulmonary aspergillosis'}",Blastomycosis,107.035925,2,69996000,False
20196,2016-02-10 06:14:51.074000+00:00,3615,3140,"{'Aspergillosis', 'Upper respiratory infection', 'Blastomycosis', 'Interstitial pulmonary disease', 'Histoplasmosis', 'Allergic bronchopulmonary aspergillosis'}",Aspergillosis,107.035925,3,65553006,False
20196,2016-02-10 06:14:51.074000+00:00,3615,3140,"{'Aspergillosis', 'Upper respiratory infection', 'Blastomycosis', 'Interstitial pulmonary disease', 'Histoplasmosis', 'Allergic bronchopulmonary aspergillosis'}",Allergic bronchopulmonary aspergillosis,107.035925,4,37981002,False
20196,2016-02-10 06:14:51.074000+00:00,3615,3140,"{'Aspergillosis', 'Upper respiratory infection', 'Blastomycosis', 'Interstitial pulmonary disease', 'Histoplasmosis', 'Allergic bronchopulmonary aspergillosis'}",Upper respiratory infection,107.035925,5,54150009,False
20196,2016-02-10 06:14:51.074000+00:00,3615,3140,"{'Aspergillosis', 'Upper respiratory infection', 'Blastomycosis', 'Interstitial pulmonary disease', 'Histoplasmosis', 'Allergic bronchopulmonary aspergillosis'}",Interstitial pulmonary disease,107.035925,6,233703007,False
42934,2016-06-16 23:51:19.628000+00:00,3615,4155,"{'Dust allergy', 'Asthma', 'Mixed dust pneumoconiosis', 'Hypersensitivity pneumonitis', 'Reactive airway disease'}",Asthma,163.674125,1,195967001,False
42934,2016-06-16 23:51:19.628000+00:00,3615,4155,"{'Dust allergy', 'Asthma', 'Mixed dust pneumoconiosis', 'Hypersensitivity pneumonitis', 'Reactive airway disease'}",Hypersensitivity pneumonitis,163.674125,2,37471005,False
42934,2016-06-16 23:51:19.628000+00:00,3615,4155,"{'Dust allergy', 'Asthma', 'Mixed dust pneumoconiosis', 'Hypersensitivity pneumonitis', 'Reactive airway disease'}",Mixed dust pneumoconiosis,163.674125,3,32139003,False
42934,2016-06-16 23:51:19.628000+00:00,3615,4155,"{'Dust allergy', 'Asthma', 'Mixed dust pneumoconiosis', 'Hypersensitivity pneumonitis', 'Reactive airway disease'}",Dust allergy,163.674125,4,390952000,False
42934,2016-06-16 23:51:19.628000+00:00,3615,4155,"{'Dust allergy', 'Asthma', 'Mixed dust pneumoconiosis', 'Hypersensitivity pneumonitis', 'Reactive airway disease'}",Reactive airway disease,163.674125,5,991000119106,False
45316,2016-06-23 21:24:25.630000+00:00,3615,5654,"{'Cough variant asthma', 'Sarcoidosis', 'Histoplasmosis'}",Histoplasmosis,62.015108,1,12962009,True
45316,2016-06-23 21:24:25.630000+00:00,3615,5654,"{'Cough variant asthma', 'Sarcoidosis', 'Histoplasmosis'}",Sarcoidosis,62.015108,2,31541009,False
45316,2016-06-23 21:24:25.630000+00:00,3615,5654,"{'Cough variant asthma', 'Sarcoidosis', 'Histoplasmosis'}",Cough variant asthma,62.015108,3,409663006,False
48339,2016-07-07 14:35:44.376000+00:00,3615,4912,"{'Coccidioidomycosis', 'Histoplasmosis', 'Blastomycosis'}",Coccidioidomycosis,52.044,1,60826002,False
48339,2016-07-07 14:35:44.376000+00:00,3615,4912,"{'Coccidioidomycosis', 'Histoplasmosis', 'Blastomycosis'}",Blastomycosis,52.044,2,69996000,False
48339,2016-07-07 14:35:44.376000+00:00,3615,4912,"{'Coccidioidomycosis', 'Histoplasmosis', 'Blastomycosis'}",Histoplasmosis,52.044,3,12962009,True
51475,2016-07-28 12:52:46.883000+00:00,3615,6597,"{'Histoplasmosis', 'Atypical pneumonia', 'Blastomycosis'}",Blastomycosis,270.742,1,69996000,False
51475,2016-07-28 12:52:46.883000+00:00,3615,6597,"{'Histoplasmosis', 'Atypical pneumonia', 'Blastomycosis'}",Histoplasmosis,270.742,2,12962009,True
51475,2016-07-28 12:52:46.883000+00:00,3615,6597,"{'Histoplasmosis', 'Atypical pneumonia', 'Blastomycosis'}",Atypical pneumonia,270.742,3,233606009,False
53783,2016-08-02 14:56:42.745000+00:00,3615,7272,"{'Chronic obstructive pulmonary disease', 'Asbestosis', 'Allergies', 'Interstitial pulmonary disease'}",Allergies,131.117978,1,609328004,False
53783,2016-08-02 14:56:42.745000+00:00,3615,7272,"{'Chronic obstructive pulmonary disease', 'Asbestosis', 'Allergies', 'Interstitial pulmonary disease'}",Chronic obstructive pulmonary disease,131.117978,2,13645005,False
53783,2016-08-02 14:56:42.745000+00:00,3615,7272,"{'Chronic obstructive pulmonary disease', 'Asbestosis', 'Allergies', 'Interstitial pulmonary disease'}",Interstitial pulmonary disease,131.117978,3,233703007,False
53783,2016-08-02 14:56:42.745000+00:00,3615,7272,"{'Chronic obstructive pulmonary disease', 'Asbestosis', 'Allergies', 'Interstitial pulmonary disease'}",Asbestosis,131.117978,4,22607003,False
56466,2016-08-05 01:55:15.958000+00:00,3615,6793,{'Bronchitis'},Bronchitis,74.639995,1,32398004,False
58565,2016-08-08 02:43:53.885000+00:00,3615,5153,"{'Disseminated histoplasmosis capsulati', 'Histoplasmosis', 'Asthma'}",Histoplasmosis,83.429457,1,12962009,True
58565,2016-08-08 02:43:53.885000+00:00,3615,5153,"{'Disseminated histoplasmosis capsulati', 'Histoplasmosis', 'Asthma'}",Disseminated histoplasmosis capsulati,83.429457,2,425418002,False
58565,2016-08-08 02:43:53.885000+00:00,3615,5153,"{'Disseminated histoplasmosis capsulati', 'Histoplasmosis', 'Asthma'}",Asthma,83.429457,3,195967001,False
62339,2016-08-16 04:11:04.442000+00:00,3615,7287,"{'Histoplasmosis', 'Asthma'}",Asthma,27.033263,1,195967001,False
62339,2016-08-16 04:11:04.442000+00:00,3615,7287,"{'Histoplasmosis', 'Asthma'}",Histoplasmosis,27.033263,2,12962009,True
70501,2016-09-21 11:35:39.920000+00:00,3615,5139,"{'Fungal pneumonia', 'TB - Tuberculosis', 'Asthma'}",Fungal pneumonia,150.534,1,233613009,False
70501,2016-09-21 11:35:39.920000+00:00,3615,5139,"{'Fungal pneumonia', 'TB - Tuberculosis', 'Asthma'}",TB - Tuberculosis,150.534,2,56717001,False
70501,2016-09-21 11:35:39.920000+00:00,3615,5139,"{'Fungal pneumonia', 'TB - Tuberculosis', 'Asthma'}",Asthma,150.534,3,195967001,False
79026,2016-11-13 14:54:22.089000+00:00,3615,6606,{'Histoplasmosis'},Histoplasmosis,72.239,1,12962009,True
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Acute bronchitis,291.723,1,10509002,False
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Hypersensitivity pneumonitis,291.723,2,37471005,False
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Acute pericarditis,291.723,3,15555002,False
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Histoplasmosis,291.723,4,12962009,True
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Blastomycosis,291.723,5,69996000,False
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Cardiomyopathy,291.723,6,85898001,False
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Acute myopericarditis,291.723,7,11176009,False
83565,2016-12-04 19:23:25.489000+00:00,3615,4089,"{'Acute bronchitis', 'Acute pericarditis', 'Blastomycosis', 'Exacerbation of asthma', 'Histoplasmosis', 'Cardiomyopathy', 'Pneumonia', 'Atypical pneumonia', 'Hypersensitivity pneumonitis', 'Acute myopericarditis'}",Exacerbation of asthma,291.723,8,281239006,False
